UF,ES
Cidade,BAIXO GUANDU
Nome Posto,IBITUBA
Latitude,-19.691111111111113
Longitude,-41.019999999999996
Codigo,1941009
Qtd. Anos,53
Ano,Maxima
1967,59.2
1968,50
1969,50
1970,70
1971,88.4
1972,62
1973,74
1974,54.6
1975,50
1976,60
1977,70.6
1978,54.2
1979,68.2
1980,83
1981,80.4
1982,40
1983,75.2
1984,62
1985,75.2
1986,100.6
1987,100.2
1988,60.4
1989,82.2
1990,107.4
1991,55
1992,49.3
1993,62.3
1994,51
1995,76.4
1996,104.1
1997,67.4
1998,50.1
1999,60.2
2000,95
2001,63.6
2002,64.5
2003,47.7
2004,93.8
2005,76.8
2006,61.5
2007,55
2008,55
2009,63.8
2010,85.6
2011,58.9
2012,90
2013,95.6
2014,49.2
2015,65.9
2016,60
2017,58.7
2018,66.8
2019,77.6
