UF,ES
Cidade,DORES DO RIO PRETO
Nome Posto,DORES DO RIO PRETO
Latitude,-20.685833333333335
Longitude,-41.846111111111114
Codigo,2041014
Qtd. Anos,73
Ano,Maxima
1948,60
1949,58.4
1950,81.2
1951,67
1952,71.6
1953,128.2
1954,58.7
1955,133.2
1956,75.6
1957,66
1958,74
1959,77.6
1960,79.8
1961,78.8
1962,76.8
1963,54
1964,66.6
1965,56.2
1966,93.2
1967,80.4
1968,87.4
1969,138.5
1970,80
1971,80.7
1972,70.2
1973,78.3
1974,41.4
1975,78.4
1976,62.2
1977,104.4
1978,66.4
1979,81.1
1980,61.4
1981,59.4
1982,113.1
1983,68.3
1984,61.4
1985,50
1986,82.4
1987,85.4
1988,101.2
1989,68.4
1990,63.4
1991,100.3
1992,69.2
1993,121.4
1994,135.4
1995,79.2
1996,71.2
1997,100.2
1998,32.2
1999,95.2
2000,87
2001,96.3
2002,98
2003,71.2
2004,107
2005,103.9
2006,106.5
2007,101.7
2008,93
2009,126.5
2010,80
2011,67
2012,83
2013,98.2
2014,77.9
2015,106
2016,161.5
2017,68.7
2018,99.8
2019,89.6
2020,64.1
