UF,ES
Cidade,ARACRUZ
Nome Posto,JACUPEMBA
Latitude,-19.58861111111111
Longitude,-40.198055555555555
Codigo,1940022
Qtd. Anos,50
Ano,Maxima
1970,97
1971,90.4
1972,64.8
1973,128.6
1974,69.4
1975,78.2
1976,111.8
1977,98.2
1978,82.6
1979,91.2
1980,205
1981,63.6
1982,99.8
1983,56.4
1984,75.1
1985,94.2
1986,38
1987,103.2
1988,103.6
1989,112.2
1990,120.2
1991,43.6
1992,106.2
1993,66.4
1994,100
1995,77
1996,81.2
1997,51
1998,45.2
1999,62
2000,68.2
2001,115.6
2002,37.1
2003,99.5
2004,95
2005,87.2
2006,66.8
2007,75.5
2008,92.5
2009,132
2010,58.6
2011,79.2
2012,112.4
2013,124.2
2014,225.8
2015,39.4
2016,79.5
2017,46.5
2018,99
2019,72.3
