UF,ES
Cidade,LINHARES
Nome Posto,POVOACAO
Latitude,-19.5775
Longitude,-39.794444444444444
Codigo,1939002
Qtd. Anos,46
Ano,Maxima
1974,58.2
1975,106.4
1976,178.2
1977,134
1978,76.2
1979,105.2
1980,144
1981,96.2
1982,64.8
1983,143.2
1984,75.8
1985,54.8
1986,85
1987,35.9
1988,47.7
1989,37.6
1990,90.3
1991,52.3
1992,20
1993,11.4
1994,72.6
1995,17.4
1996,98.7
1997,76.8
1998,40.5
1999,72.4
2000,70.3
2001,85.4
2002,76.3
2003,95.3
2004,70.4
2005,87.4
2006,128.4
2007,73.8
2008,170.7
2009,231.9
2010,153.2
2011,124.3
2012,54.5
2013,140.6
2014,71.1
2015,45.9
2016,78.4
2017,95.7
2018,171.2
2019,102.6
