UF,ES
Cidade,CASTELO
Nome Posto,CASTELO
Latitude,-20.605555555555558
Longitude,-41.19972222222222
Codigo,2041002
Qtd. Anos,81
Ano,Maxima
1939,88.6
1940,62.9
1941,55.8
1942,78.2
1943,48.6
1944,78.2
1945,90
1946,101.2
1947,110.8
1948,87
1949,58
1950,82
1951,73
1952,94
1953,59.2
1954,67.8
1955,50
1956,83.8
1957,79.4
1958,59.6
1959,93.8
1960,85.4
1961,52.6
1962,60
1963,58
1964,74
1965,65
1966,44.2
1967,47
1968,95
1969,113
1970,56
1971,58
1972,53
1973,78
1974,65
1975,85.8
1976,54
1977,77.4
1978,52.2
1979,75
1980,85.2
1981,60
1982,88
1983,70
1984,62.3
1985,118.4
1986,56.7
1987,127
1988,59.6
1989,74.5
1990,110
1991,68.8
1992,65
1993,70
1994,81.5
1995,59
1996,80
1997,103.4
1998,55.4
1999,48.2
2000,74.7
2001,62.5
2002,55.2
2003,63
2004,78.4
2005,97.4
2006,82.4
2007,68.1
2008,97.3
2009,103.7
2010,115
2011,78.7
2012,70.2
2013,77
2014,55.4
2015,66.1
2016,99
2017,70.7
2018,76.5
2019,68.5
