UF,ES
Cidade,IUNA
Nome Posto,IUNA
Latitude,-20.34583333333333
Longitude,-41.5375
Codigo,2041013
Qtd. Anos,66
Ano,Maxima
1954,48
1955,32
1956,96.4
1957,55.3
1958,76.9
1959,61.4
1960,70.6
1961,138.4
1962,84.4
1963,44.8
1964,72.4
1965,52.3
1966,56.4
1967,61.2
1968,64.8
1969,62.4
1970,42.6
1971,108.6
1972,64.4
1973,98.8
1974,92.4
1975,71.2
1976,32.4
1977,48.2
1978,38.2
1979,52.4
1980,58.2
1981,73.6
1982,73.4
1983,43.2
1984,69.6
1985,73.2
1986,65.2
1987,71
1988,43.2
1989,132.2
1990,56.6
1991,92.3
1992,60.2
1993,85
1994,78
1995,77.3
1996,126
1997,100.3
1998,78.5
1999,55.6
2000,121.2
2001,63.8
2002,90.8
2003,71.4
2004,129.3
2005,97.3
2006,71.4
2007,54.6
2008,92.3
2009,111
2010,89
2011,80
2012,59.5
2013,74.4
2014,80.5
2015,43.2
2016,86.1
2017,77.7
2018,65.6
2019,74.8
