UF,ES
Cidade,SERRA
Nome Posto,FAZENDA FONTE LIMPA (DNOS)
Latitude,-20.190277777777776
Longitude,-40.31888888888889
Codigo,2040003
Qtd. Anos,72
Ano,Maxima
1947,70.2
1948,75
1949,58
1950,75
1951,13
1952,7
1953,47
1954,11
1955,8
1956,10
1957,25
1958,25
1959,27
1960,25
1961,25
1962,25
1963,25
1964,63.2
1965,85.8
1966,75.6
1967,116.6
1968,56.4
1970,73.2
1971,118.4
1972,59
1973,50.3
1974,65.1
1975,68
1976,120.2
1977,85.4
1978,98.6
1979,86.4
1980,80.8
1981,122
1982,56.2
1983,153
1984,80.4
1985,102.2
1986,75.5
1987,87.6
1988,25.8
1989,25.8
1990,42.6
1991,50.8
1992,50.2
1993,25.8
1994,39.2
1995,46.2
1996,86.6
1997,85.7
1998,98
1999,68
2000,151.7
2001,91.3
2002,170
2003,68.1
2004,87
2005,161.3
2006,96.8
2007,72.2
2008,85.1
2009,121
2010,71.6
2011,101.1
2012,90.1
2013,135.3
2014,41.6
2015,86.9
2016,80.1
2017,89.5
2018,111.4
2019,229.8
