UF,ES
Cidade,CARIACICA
Nome Posto,DUAS BOCAS (DNOS)
Latitude,-20.261388888888888
Longitude,-40.47916666666667
Codigo,2040014
Qtd. Anos,62
Ano,Maxima
1952,107.3
1953,60.3
1954,50.8
1955,90.3
1956,114
1957,105.2
1958,101.4
1959,117.5
1960,231.5
1961,106.2
1962,183.3
1963,40
1964,69.8
1965,125
1972,55.6
1973,87.4
1974,77.4
1975,74
1976,67
1977,100
1978,154.3
1979,122.1
1980,106.3
1981,74.2
1982,102.1
1983,141.1
1984,148
1985,121.4
1986,94
1987,127.3
1988,100
1989,62
1990,79
1991,50
1992,32
1993,44
1994,98
1995,50
1996,50
1997,100
1998,63
1999,110.4
2000,45.8
2001,91
2002,87.4
2003,64.6
2004,117.2
2005,153.7
2006,104
2007,84.7
2008,92.4
2009,142
2010,206.7
2011,187.5
2012,123.2
2013,130.5
2014,74.7
2015,66.7
2016,65.2
2017,107.3
2018,122.9
2019,53.8
