UF,ES
Cidade,NOVA VENECIA
Nome Posto,PATRIMONIO XV
Latitude,-18.49416666666667
Longitude,-40.46416666666667
Codigo,1840016
Qtd. Anos,50
Ano,Maxima
1970,33.8
1971,73.8
1972,156.2
1973,59.2
1974,104.6
1975,125.6
1976,98
1977,58.2
1978,75.8
1979,90.8
1980,82.6
1981,51
1982,100
1983,80
1984,50
1985,94.2
1986,46.1
1987,43.5
1988,115
1989,70.2
1990,66.2
1991,78.5
1992,117.3
1993,78.4
1994,73.1
1995,87.4
1996,71.9
1997,80
1998,62.5
1999,42.8
2000,123.7
2001,82.8
2002,86
2003,55.1
2004,93.3
2005,74.8
2006,103
2007,68
2008,77.9
2009,156.3
2010,54.8
2011,92.3
2012,97.8
2013,79.7
2014,88.2
2015,59.7
2016,97.3
2017,73.9
2018,113.1
2019,77.8
