UF,ES
Cidade,GUARAPARI
Nome Posto,GUARAPARI (DNOS)
Latitude,-20.65222222222222
Longitude,-40.50861111111111
Codigo,2040004
Qtd. Anos,73
Ano,Maxima
1947,122
1948,231
1949,77
1950,91
1951,96
1952,69.2
1953,62
1954,59.2
1955,50.2
1956,31
1957,73
1958,50
1959,75.5
1960,130.2
1961,76.1
1962,126
1963,62
1964,82
1965,188.8
1966,35.2
1967,87.1
1968,87.8
1969,76.3
1970,82
1971,126.3
1972,63.2
1973,73
1974,82.1
1975,73.7
1976,112.7
1977,105
1978,63
1979,140
1980,48.5
1981,54
1982,99
1983,165
1984,87
1985,62.5
1986,56.5
1987,83
1988,103
1989,86.1
1990,79.3
1991,168.3
1992,81.1
1993,84
1994,178
1995,122.5
1996,95.5
1997,149.4
1998,77
1999,105
2000,81.5
2001,188.4
2002,125.5
2003,129
2004,134.8
2005,92.6
2006,75.7
2007,85.8
2008,114.2
2009,121
2010,144.7
2011,76.8
2012,101.3
2013,70.2
2014,80.3
2015,47.3
2016,76.1
2017,71.4
2018,93.7
2019,133
