UF,ES
Cidade,ARACRUZ
Nome Posto,RIACHO
Latitude,-19.749722222222225
Longitude,-40.043055555555554
Codigo,1940003
Qtd. Anos,73
Ano,Maxima
1947,101.2
1948,107.2
1949,102
1950,75.3
1951,34.2
1952,42.3
1953,28.5
1954,28.4
1955,65.3
1956,61.3
1957,85.4
1958,79
1959,90.3
1960,101.3
1961,172
1962,75.2
1963,32.4
1964,103.2
1965,67.2
1966,79.2
1967,122
1968,92
1969,98.3
1970,77.4
1971,90.3
1972,52.2
1973,71.2
1974,83.2
1975,111
1976,81
1977,98
1978,142.6
1979,95.2
1980,175
1981,62.4
1982,96
1983,116.4
1984,133.2
1985,67.2
1986,53
1987,70.8
1988,75.6
1989,100.8
1990,30.8
1991,65
1992,25.5
1993,28.4
1994,28
1995,78.6
1996,15.2
1997,70.4
1998,95.9
1999,59
2000,80.5
2001,94.6
2002,73.3
2003,64.9
2004,108.3
2005,100
2006,95.1
2007,88.6
2008,134
2009,159.2
2010,84.9
2011,135.3
2012,123.5
2013,135.1
2014,109.2
2015,94.8
2016,73.2
2017,79
2018,123.8
2019,62.3
