UF,ES
Cidade,BARRA DE SAO FRANCISCO
Nome Posto,SANTO AGOSTINHO
Latitude,-18.40611111111111
Longitude,-41.04
Codigo,1841010
Qtd. Anos,50
Ano,Maxima
1970,60
1971,61
1972,106.4
1973,57
1974,55
1975,60
1976,105
1977,109
1978,74
1979,120.4
1980,138
1981,100
1982,74.2
1983,94.1
1984,50
1985,83
1986,76
1987,70
1988,53
1989,82
1990,57
1991,59
1992,98
1993,95.3
1994,78
1995,70.7
1996,48.1
1997,78.4
1998,73
1999,95.1
2000,72
2001,68.1
2002,67.5
2003,68.9
2004,202.7
2005,71.2
2006,87.7
2007,64.1
2008,59.4
2009,136.6
2010,54.4
2011,67.2
2012,70
2013,151.5
2014,90.8
2015,48
2016,96.5
2017,70
2018,61
2019,56.3
