UF,ES
Cidade,PINHEIROS
Nome Posto,SAO JOAO DO SOBRADO
Latitude,-18.31861111111111
Longitude,-40.406666666666666
Codigo,1840017
Qtd. Anos,50
Ano,Maxima
1970,49.6
1971,89
1972,186.4
1973,71.6
1974,60.4
1975,80.4
1976,88
1977,72.2
1978,72.2
1979,66.6
1980,76.2
1981,83
1982,140
1983,120
1984,77
1985,131.6
1986,48.6
1987,60.2
1988,67.4
1989,35
1990,90
1991,110.6
1992,100
1993,72
1994,75
1995,92.4
1996,62
1997,56.2
1998,67.2
1999,91.5
2000,82
2001,135.4
2002,90.2
2003,111.9
2004,73.7
2005,109.4
2006,131.2
2007,48.4
2008,62.9
2009,107.2
2010,180
2011,77.5
2012,91
2013,77.4
2014,45.3
2015,51
2016,130
2017,58
2018,100
2019,47.7
