UF,ES
Cidade,MIMOSO DO SUL
Nome Posto,SAO JOSE DAS TORRES
Latitude,-21.073055555555555
Longitude,-41.23833333333334
Codigo,2141017
Qtd. Anos,52
Ano,Maxima
1969,108.6
1970,100.3
1971,178.3
1972,107.5
1973,108.9
1974,74.3
1975,124.5
1976,78.5
1977,96
1978,141
1979,126.4
1980,134.6
1981,128.2
1982,570.1
1983,151
1984,100.6
1985,78
1986,64.5
1987,57.2
1988,86.3
1989,85.4
1990,69.6
1991,77.1
1992,98.2
1993,60.2
1994,170.2
1995,63.2
1996,97
1997,106
1998,54
1999,64
2000,59.3
2001,70.2
2002,100
2003,100
2004,90.2
2005,100
2006,91.2
2007,43
2008,117.5
2009,90.6
2010,80.9
2011,60.7
2012,77.4
2013,60.3
2014,50.9
2015,42.2
2016,71.4
2017,106.1
2018,110.3
2019,86.7
2020,113
