UF,ES
Cidade,SANTA LEOPOLDINA
Nome Posto,CACHOEIRA SUICA (DNOS)
Latitude,-20.079444444444444
Longitude,-40.60666666666667
Codigo,2040018
Qtd. Anos,61
Ano,Maxima
1959,111
1960,46
1961,108
1962,49
1963,105
1964,86
1965,140
1966,61
1967,124.6
1968,60
1969,77.6
1970,127.2
1971,67.2
1972,89.2
1973,66.4
1974,72
1975,81
1976,75.6
1977,70.2
1978,52.2
1979,79.2
1980,97
1981,81.4
1982,100
1983,78
1984,60.8
1985,61.2
1986,62.2
1987,81.4
1988,46.6
1989,115
1990,57.4
1991,78.6
1992,76.4
1993,39.2
1994,114.2
1995,58.4
1996,109
1997,90.6
1998,41.4
1999,83.4
2000,145.9
2001,91.8
2002,43.3
2003,50.5
2004,81.3
2005,116.2
2006,81
2007,86.6
2008,72.4
2009,155
2010,129
2011,105
2012,88.5
2013,148.7
2014,78.1
2015,43.5
2016,65.8
2017,109.5
2018,92
2019,149.7
