UF,ES
Cidade,SAO JOSE DO CALCADO
Nome Posto,SAO JOSE DO CALCADO
Latitude,-21.016944444444444
Longitude,-41.66277777777778
Codigo,2141016
Qtd. Anos,69
Ano,Maxima
1952,41
1953,47
1954,60
1955,64.8
1956,73.8
1957,62.4
1958,92.2
1959,89.8
1960,111.8
1961,97.2
1962,92.4
1963,61.4
1964,65.8
1965,112.4
1966,61.6
1967,88.8
1968,59.2
1969,128.8
1970,80.1
1971,64.1
1972,87.4
1973,49.2
1974,69.2
1975,126.2
1976,69.4
1977,95.2
1978,100.3
1979,66.2
1980,92.2
1981,108.9
1982,97.3
1983,109.4
1984,68.8
1985,97.2
1986,85.4
1987,98.3
1988,101.9
1989,70.2
1990,82.3
1991,68.6
1992,97.6
1993,87.8
1994,82.3
1995,97.9
1996,93.6
1997,113.9
1998,100.6
1999,68.4
2000,115.4
2001,82.2
2002,74.5
2003,125
2004,84.2
2005,114.4
2006,76.8
2007,92.5
2008,80
2009,130
2010,110
2011,61.3
2012,68.3
2013,130
2014,92.3
2015,48.3
2016,72.3
2017,43
2018,124.3
2019,72
2020,69.7
