UF,ES
Cidade,MANTENOPOLIS
Nome Posto,MANTENOPOLIS
Latitude,-18.83888888888889
Longitude,-41.11027777777778
Codigo,1841009
Qtd. Anos,50
Ano,Maxima
1970,76.6
1971,70
1972,74.4
1973,50
1974,69.4
1975,64.6
1976,70
1977,100
1978,103.6
1979,168
1980,91.6
1981,68.6
1982,52
1983,67.4
1984,98
1985,71.1
1986,55
1987,76
1988,80
1989,65
1990,61.6
1991,61
1992,55
1993,76
1994,86
1995,100
1996,68.4
1997,82
1998,65.6
1999,99
2000,56.9
2001,108.1
2002,123
2003,61.3
2004,81.2
2005,137.6
2006,68
2007,59.2
2008,75.4
2009,59.7
2010,76.5
2011,58.2
2012,65
2013,88.5
2014,54
2015,40
2016,61.3
2017,62
2018,61.2
2019,105.5
