UF,ES
Cidade,MUQUI
Nome Posto,FAZENDA MONTE ALEGRE
Latitude,-20.94472222222222
Longitude,-41.40083333333333
Codigo,2041015
Qtd. Anos,68
Ano,Maxima
1952,45.6
1953,47
1954,55.8
1955,68.2
1956,92
1957,85.4
1958,74
1959,100
1960,90.8
1961,97.2
1962,63.8
1963,43.4
1964,90.4
1965,132.4
1966,99
1967,80.6
1968,68.4
1969,88.8
1970,80.2
1971,81
1972,40
1973,25
1974,25
1975,25
1976,25
1977,25
1978,29.8
1979,25
1980,76.8
1981,66
1982,75
1983,60
1984,75
1985,50
1986,50
1987,35
1988,25
1989,19.4
1990,75
1991,25
1992,40
1993,67.4
1994,125
1995,75
1996,85
1997,98
1998,100
1999,100
2000,62.1
2001,96.1
2002,74.7
2003,138.1
2004,92.9
2005,158.4
2006,85.6
2007,57.2
2008,82.5
2009,103.8
2010,108.4
2011,82.3
2012,69.3
2013,138.5
2014,55.6
2015,84.1
2016,93.8
2017,112.7
2018,144.2
2019,75.4
