UF,ES
Cidade,VIANA
Nome Posto,FAZENDA JUCURUABA
Latitude,-20.415
Longitude,-40.48527777777778
Codigo,2040001
Qtd. Anos,69
Ano,Maxima
1951,65.6
1952,64.2
1953,75
1954,76.4
1955,48.2
1956,90
1957,51.6
1958,52.3
1959,110.8
1960,115.4
1961,114.5
1962,86.9
1963,47.5
1964,70.9
1965,111.8
1966,90.8
1967,145.8
1968,115.6
1969,125.6
1970,90.5
1971,103.8
1972,71.5
1973,70.6
1974,67.6
1975,138.6
1976,92.3
1977,104.5
1978,80.5
1979,108.3
1980,52.3
1981,50.3
1982,86.5
1983,110.4
1984,120.5
1985,91.5
1986,55.3
1987,80.7
1988,59.4
1989,80.4
1990,35.5
1991,66
1992,93
1993,53.5
1994,87
1995,71
1996,80.3
1997,95.2
1998,58.3
1999,82.4
2000,156.4
2001,76.1
2002,67.2
2003,94.3
2004,102.5
2005,95.2
2006,100.3
2007,62.3
2008,119
2009,130.6
2010,135.6
2011,96.3
2012,143
2013,97.2
2014,86.5
2015,88.7
2016,98.5
2017,64.2
2018,146
2019,115
