UF,ES
Cidade,PANCAS
Nome Posto,PANCAS
Latitude,-19.220277777777778
Longitude,-40.85333333333333
Codigo,1940009
Qtd. Anos,63
Ano,Maxima
1957,71.6
1958,158.6
1959,70
1960,124.9
1961,122
1962,71.1
1963,47.6
1964,60.2
1965,99
1966,61.2
1967,46
1968,81.2
1969,63
1970,105.3
1971,79.1
1972,67
1973,68.5
1974,79
1975,73.1
1976,56.4
1977,91
1978,82
1979,109
1980,139.4
1981,157
1982,81.2
1983,110.2
1984,61.3
1985,108
1986,66
1987,73.5
1988,72.8
1989,57
1990,73
1991,72.2
1992,70.7
1993,70
1994,112.4
1995,51.7
1996,50.1
1997,61.3
1998,66
1999,79.3
2000,88.9
2001,79.8
2002,79.5
2003,71.7
2004,134.5
2005,64.5
2006,57.4
2007,58.3
2008,74.6
2009,143.8
2010,90.5
2011,84.6
2012,90.2
2013,158.7
2014,72.3
2015,48.6
2016,56.7
2017,59
2018,87.8
2019,73.9
