UF,ES
Cidade,FUNDAO
Nome Posto,FUNDAO
Latitude,-19.936944444444446
Longitude,-40.40138888888889
Codigo,1940007
Qtd. Anos,72
Ano,Maxima
1948,128
1949,80
1950,88.9
1951,129.2
1952,150.4
1953,72.6
1954,50.6
1955,64.4
1956,50
1957,116
1958,144.2
1959,89
1960,122
1961,85.2
1962,72.2
1963,50.8
1964,67.4
1965,145.6
1966,84.2
1967,93.2
1968,95
1969,132.4
1970,122
1971,109
1972,116.3
1973,81.6
1974,110
1975,100
1976,102.4
1977,73.6
1978,59.2
1979,141
1980,105.2
1981,130.8
1982,57.6
1983,134
1984,113.2
1985,72.2
1986,42.4
1987,127.2
1988,56
1989,130
1990,99
1991,74
1992,75
1993,87.5
1994,73
1995,125
1996,59
1997,148
1998,60
1999,90.8
2000,206.2
2001,125.2
2002,88.5
2003,93.3
2004,98.5
2005,161
2006,102.7
2007,126
2008,100.7
2009,230
2010,97
2011,135
2012,87.5
2013,159
2014,95.5
2015,113.7
2016,89
2017,60.5
2018,104.3
2019,126
