UF,ES
Cidade,ALEGRE
Nome Posto,RIVE
Latitude,-20.746944444444445
Longitude,-41.46611111111111
Codigo,2041003
Qtd. Anos,80
Ano,Maxima
1939,51.3
1940,105.5
1941,57.3
1942,86.1
1943,77
1944,78.5
1945,85.1
1946,76.2
1947,79.6
1948,70
1949,88.6
1950,56
1951,116.4
1952,85.4
1953,97.4
1954,90.6
1955,45.4
1956,85.3
1957,60.8
1958,76.4
1959,72.4
1960,120
1961,91
1962,90.2
1963,36.6
1964,75
1965,73
1966,78.4
1967,71.4
1968,64
1969,97
1970,100.8
1971,83.8
1972,38
1973,45.6
1974,85.6
1975,106.4
1976,68
1977,153.2
1978,50.2
1979,97.4
1980,75.4
1981,62.4
1982,97
1983,70
1984,80.4
1985,84
1986,83.4
1987,98.8
1988,71.6
1989,89.6
1990,72
1991,146
1992,85.4
1993,84.8
1994,90
1995,70.2
1996,106.8
1997,96.4
1998,80
1999,92.2
2000,114
2001,55
2002,70.6
2003,100.6
2004,79
2005,79.8
2006,74.8
2007,78
2008,83.1
2009,67.7
2010,136.4
2011,90.5
2012,79.3
2013,140.8
2014,59.3
2015,55.4
2016,131.8
2017,118.6
2018,66.7
