UF,ES
Cidade,MIMOSO DO SUL
Nome Posto,PONTE DO ITABAPOANA
Latitude,-21.20611111111111
Longitude,-41.46277777777778
Codigo,2141014
Qtd. Anos,84
Ano,Maxima
1937,57.4
1938,72.4
1939,85.4
1940,56.2
1941,77.6
1942,66.2
1943,95.6
1944,62.8
1945,68.2
1946,99.8
1947,63.4
1948,61.4
1949,68.8
1950,62.4
1951,103.8
1952,66.6
1953,61.8
1954,54.8
1955,87.8
1956,105.8
1957,78.2
1958,117.8
1959,100.6
1960,60.6
1961,51.6
1962,67.4
1963,88.4
1964,112.4
1965,111.2
1966,76.8
1967,76.4
1968,90.4
1969,92.4
1970,84.4
1971,47.1
1972,80.6
1973,64.6
1974,54.2
1975,81.8
1976,68.6
1977,414.6
1978,82.8
1979,94.2
1980,56.2
1981,52.8
1982,96.4
1983,76.4
1984,44.6
1985,66.8
1986,28.6
1987,86.4
1988,75.2
1989,61.6
1990,64
1991,96
1992,63.7
1993,65.2
1994,83.5
1995,43.3
1996,81.4
1997,69.5
1998,72.5
1999,85
2000,92.3
2001,101.4
2002,84.1
2003,76.1
2004,63.4
2005,111.3
2006,111.8
2007,105.7
2008,68.9
2009,73.2
2010,87.6
2011,73.3
2012,52.3
2013,96.4
2014,70.3
2015,49.7
2016,46.4
2017,74.9
2018,100.6
2019,86.9
2020,71.7
