UF,ES
Cidade,CONCEICAO DA BARRA
Nome Posto,MORRO D'ANTA (PEDRO CANARIO)
Latitude,-18.299444444444447
Longitude,-39.95861111111111
Codigo,1839000
Qtd. Anos,65
Ano,Maxima
1951,77
1952,68.3
1953,192
1954,84
1955,70.2
1956,58.3
1957,80.4
1958,94.6
1959,84.8
1960,50.4
1961,42.4
1962,70
1963,58.4
1964,74
1969,124.4
1970,125.8
1971,231.8
1972,70.8
1973,66
1974,73.2
1975,76.2
1976,69.8
1977,66.8
1978,76.4
1979,89.8
1980,99.4
1981,84.6
1982,93.2
1983,124.2
1984,26.8
1985,85.8
1986,98.6
1987,68.2
1988,98.2
1989,50.2
1990,22.4
1991,80.4
1992,51.4
1993,60.8
1994,9.8
1995,78.4
1996,24.3
1997,53
1998,40.7
1999,50.2
2000,153.8
2001,113
2002,85.7
2003,115.9
2004,76.8
2005,143.5
2006,90.5
2007,56.3
2008,83.5
2009,128.9
2010,73.9
2011,106.1
2012,47.1
2013,81.1
2014,114
2015,60.5
2016,214.5
2017,60
2018,72
2019,69.8
