UF,ES
Cidade,ITAPEMIRIM
Nome Posto,USINA PAINEIRAS
Latitude,-20.952777777777776
Longitude,-40.95333333333333
Codigo,2040006
Qtd. Anos,73
Ano,Maxima
1947,68
1948,53.5
1949,94.8
1950,105
1951,94
1952,42.5
1953,42.5
1954,40
1955,42
1956,49.1
1957,65
1958,64
1959,60.4
1960,52
1961,100.3
1962,92.3
1963,63.3
1964,99.4
1965,59.5
1966,67.6
1967,82.8
1968,82.5
1969,72.5
1970,60.8
1971,103.8
1972,78.7
1973,103.2
1974,71.8
1975,66.2
1976,99.2
1977,74.4
1978,122.8
1979,94.2
1980,72.4
1981,39.2
1982,59.4
1983,152.4
1984,105.6
1985,48.2
1986,72.6
1987,68.8
1988,89.2
1989,88.2
1990,57.8
1991,90.3
1992,95
1993,82.4
1994,238.6
1995,57
1996,125.6
1997,96
1998,69
1999,59.4
2000,130
2001,41
2002,139.4
2003,73.2
2004,93.2
2005,88.4
2006,76.6
2007,53.4
2008,63.2
2009,70.4
2010,59.6
2011,85.4
2012,71.4
2013,146
2014,58.6
2015,58.4
2016,50.3
2017,112
2018,127.7
2019,96.1
