UF,AC
Cidade,ASSIS BRASIL
Nome Posto,ASSIS BRASIL
Latitude,-10.943611111111112
Longitude,-69.56555555555555
Codigo,1069000
Qtd. Anos,40
Ano,Maxima
1980,86.1
1981,113.2
1982,84
1983,100.8
1984,114.6
1985,58.4
1986,80.2
1987,60.2
1988,75.2
1989,112.6
1990,62.4
1991,60.2
1992,50.6
1993,68.4
1995,77.3
1996,87.9
1997,69.5
1998,92.7
1999,73.3
2000,72.3
2001,120.3
2002,87.3
2003,65.5
2004,85.1
2005,85.5
2006,105.1
2007,93.2
2008,108.8
2009,93.9
2010,80.7
2011,85.6
2012,97.4
2013,80.8
2014,73.2
2015,7.9
2016,51
2017,104
2018,156.9
2019,130.2
2020,104.2
