UF,AC
Cidade,FEIJO
Nome Posto,FEIJO
Latitude,-8.163611111111111
Longitude,-70.35638888888889
Codigo,870002
Qtd. Anos,39
Ano,Maxima
1980,32
1981,82
1982,90.8
1983,90
1984,100
1985,66.2
1986,92
1987,70
1988,105
1989,95.6
1990,222.6
1991,80
1992,63
1993,90
1994,70
1995,50
1996,102.5
1997,85
1998,92
1999,80.3
2000,108.4
2001,134.5
2002,67.2
2003,58.4
2004,41.2
2005,65.6
2006,28.2
2007,61.6
2008,31.2
2009,32.1
2010,33.7
2011,36.5
2012,31.5
2015,95
2016,103.5
2017,42.2
2018,39.5
2019,54.8
2020,81.5
