UF,AC
Cidade,PLACIDO DE CASTRO
Nome Posto,PLACIDO DE CASTRO
Latitude,-10.324166666666667
Longitude,-67.18861111111111
Codigo,1067002
Qtd. Anos,27
Ano,Maxima
1993,75.2
1994,83.1
1995,70
1996,98.1
1997,132
1998,99.8
1999,121.9
2000,156.7
2001,90.1
2002,105.5
2003,115.7
2004,80
2005,99.2
2006,101.4
2007,142
2008,77
2009,96.3
2010,110.5
2011,77
2012,75
2013,70.9
2014,75
2015,180
2016,108.2
2017,89.3
2018,70.2
2019,83.6
