UF,AC
Cidade,PORTO WALTER
Nome Posto,PORTO WALTER
Latitude,-8.2675
Longitude,-72.73444444444445
Codigo,872001
Qtd. Anos,36
Ano,Maxima
1982,81.6
1983,68.2
1984,105.6
1985,106.6
1986,90.5
1987,91.8
1988,78.8
1989,92.1
1990,215
1991,87.3
1992,119.2
1993,89.4
1994,76.4
1995,75.6
1996,103.2
1997,82.2
1998,84.2
1999,146.4
2000,85.4
2001,75.4
2002,75.4
2003,75.4
2004,75.3
2005,75.3
2006,105.4
2007,97.8
2008,83.7
2009,54.3
2010,80.2
2011,81.5
2012,97.2
2015,97.2
2016,61.2
2017,69.1
2018,142
2019,102.5
