UF,AC
Cidade,MANOEL URBANO
Nome Posto,MANOEL URBANO
Latitude,-8.884166666666665
Longitude,-69.26805555555555
Codigo,869000
Qtd. Anos,38
Ano,Maxima
1981,48
1982,76.4
1983,80.4
1984,100.3
1985,109.6
1986,96.4
1987,66.2
1989,118.6
1990,143.3
1991,181.1
1992,432
1993,81.9
1994,59.1
1995,68.2
1996,77.2
1997,60.8
1998,79.9
1999,90.4
2000,90.4
2001,92
2002,60
2003,208.2
2004,41.9
2005,93.2
2006,53.2
2007,47.8
2008,79.6
2009,33.4
2011,50.4
2012,90
2013,47.4
2014,57.1
2015,32.6
2016,95.7
2017,68.6
2018,68.9
2019,86.6
2020,70
