UF,AC
Cidade,CAPIXABA
Nome Posto,VILA CAPIXABA
Latitude,-10.575833333333334
Longitude,-67.67666666666668
Codigo,1067003
Qtd. Anos,28
Ano,Maxima
1992,90.7
1993,69
1994,99.4
1995,60.2
1996,91
1997,146
1998,103.8
1999,94
2000,94.3
2001,111.9
2002,99.9
2003,90.9
2004,92.5
2005,105.3
2006,125.6
2007,142.2
2008,117.9
2009,103.3
2010,16.1
2011,30
2012,45
2013,80.6
2014,170
2015,42
2016,197.7
2017,131.8
2018,38.4
2019,92.5
