UF,AC
Cidade,CRUZEIRO DO SUL
Nome Posto,CRUZEIRO DO SUL
Latitude,-7.611111111111111
Longitude,-72.68111111111112
Codigo,772000
Qtd. Anos,24
Ano,Maxima
1961,73
1962,78
1970,98.9
1975,67.6
1976,74
1977,88
1978,104
1979,80.2
1980,76
1981,89
1982,96
1983,88.4
1984,94
1985,54.6
1986,93.2
1987,104
1988,126.6
1989,90.2
1990,90.2
1992,98.8
1993,92.8
1994,104
1995,71.8
1996,90.9
