UF,AC
Cidade,FEIJO
Nome Posto,SERINGAL SANTA HELENA
Latitude,-8.685833333333333
Longitude,-70.55111111111111
Codigo,870003
Qtd. Anos,22
Ano,Maxima
1996,62.7
1997,38.4
1998,86.7
1999,132.8
2000,79.4
2001,148.4
2002,297
2003,109
2004,80
2005,77
2006,107
2007,13.2
2008,17
2009,87.9
2010,94.6
2011,81
2012,85
2013,70.9
2017,88.1
2018,107.3
2019,208
2020,90
