UF,AC
Cidade,MARECHAL THAUMATURGO
Nome Posto,FOZ DO BREU
Latitude,-9.401666666666667
Longitude,-72.7025
Codigo,972000
Qtd. Anos,38
Ano,Maxima
1982,89
1983,56.2
1984,70.6
1985,61.8
1986,103.4
1987,104
1988,81
1989,285.3
1990,77
1991,89.8
1992,70.2
1993,146.4
1994,120.2
1995,80.2
1996,140
1997,120.3
1998,95.1
1999,94.5
2000,111.2
2001,74.8
2002,115.7
2003,61.3
2004,89.5
2005,88.1
2006,72.1
2007,156.5
2008,121.3
2009,112.3
2010,76.3
2011,94
2012,83.3
2013,54.5
2014,73.1
2015,92.2
2016,143.1
2017,102.3
2018,143.3
2019,87.9
