UF,AC
Cidade,MARECHAL THAUMATURGO
Nome Posto,THAUMATURGO
Latitude,-8.935277777777777
Longitude,-72.785
Codigo,872000
Qtd. Anos,40
Ano,Maxima
1980,16.8
1981,66.6
1982,71.4
1983,98
1984,77.4
1985,68.2
1986,112
1987,108.4
1988,76.8
1989,84.6
1990,86.6
1991,62.2
1992,42
1993,86
1994,75.5
1995,60.2
1996,84
1997,66.4
1998,62.2
1999,80
2000,100
2001,112.6
2002,73
2003,42
2004,62.2
2005,56
2006,92.2
2007,96.4
2008,224.9
2009,81
2010,135.6
2011,166.6
2012,87
2013,85.3
2014,91
2015,90.8
2016,93
2017,80.9
2018,100.1
2019,156.2
