UF,AC
Cidade,BRASILEIA
Nome Posto,BRASILEIA
Latitude,-11.023333333333333
Longitude,-68.735
Codigo,1168001
Qtd. Anos,41
Ano,Maxima
1980,43.3
1981,82.2
1982,78.6
1983,108
1984,83.6
1985,140.2
1986,69
1987,83.1
1988,87.7
1989,68
1990,90.6
1991,70.3
1992,130.6
1993,60.8
1994,64
1995,100
1996,106
1997,111.6
1998,92.8
1999,84.8
2000,111.2
2001,106
2002,98
2003,101.4
2004,73.6
2005,77
2006,82.2
2007,64.4
2008,95
2009,107.2
2010,98.6
2011,78.9
2012,85
2013,60.9
2014,83.4
2015,35.1
2016,41.9
2017,64.9
2018,52.8
2019,116.3
2020,90.4
