UF,AC
Cidade,TARAUACA
Nome Posto,FAZENDA PARANACRE
Latitude,-7.9511111111111115
Longitude,-71.48222222222222
Codigo,771001
Qtd. Anos,38
Ano,Maxima
1982,79.4
1983,92.3
1984,86.3
1985,58.3
1986,100.3
1987,90.8
1988,88.2
1989,84.1
1990,89.2
1991,89
1992,88
1993,77.8
1994,61.1
1995,9.9
1996,134.8
1997,124.7
1998,95.4
1999,98.2
2000,70.7
2001,120
2002,100.1
2003,97.5
2004,99.8
2005,79.1
2006,66.9
2007,86.1
2008,99.9
2009,88.5
2010,99.8
2011,99.9
2012,78.3
2013,87.2
2014,74.3
2015,99.8
2016,99.8
2017,99.8
2018,99.8
2019,78.1
