UF,AC
Cidade,RIO BRANCO
Nome Posto,RIO BRANCO
Latitude,-9.975833333333334
Longitude,-67.8
Codigo,967000
Qtd. Anos,51
Ano,Maxima
1969,90.5
1970,78
1971,129.6
1972,92.4
1973,91
1974,118.2
1975,72
1976,114.4
1977,99.4
1978,97
1979,113.5
1980,92.8
1981,78.6
1982,83.4
1983,95.2
1984,77.6
1985,129.2
1986,102.2
1987,135.2
1988,107.6
1989,73.4
1990,80.6
1991,56.6
1992,91.8
1993,121.4
1994,107.1
1995,54.3
1996,85.8
1997,86.7
1998,118.9
1999,84
2000,60
2001,79.7
2002,88.3
2003,100.9
2004,113.8
2005,80.6
2006,99.2
2007,66.8
2008,77.6
2009,95.2
2010,108.7
2011,93.4
2012,98.2
2013,131.9
2014,98.4
2015,134
2016,77.6
2017,85
2018,159.2
2019,72
