UF,AC
Cidade,SENA MADUREIRA
Nome Posto,SERINGAL GUARANY
Latitude,-9.110277777777778
Longitude,-68.99333333333334
Codigo,969001
Qtd. Anos,35
Ano,Maxima
1983,78.2
1984,91
1985,118
1986,133
1987,64
1988,80
1989,115.4
1990,76
1991,141.4
1992,146.4
1993,86.7
1994,80.3
1996,93.2
1997,83.4
1998,121.2
1999,113.2
2000,66.2
2001,102.4
2002,84.4
2003,131.2
2004,114.2
2005,131
2006,82.4
2007,142.4
2008,108.1
2009,110.4
2010,61.2
2011,109.3
2012,147
2013,89.1
2014,76.3
2017,47.5
2018,96.7
2019,126.3
2020,71.2
