UF,AC
Cidade,SENA MADUREIRA
Nome Posto,SERINGAL SAO JOSE
Latitude,-9.374444444444444
Longitude,-68.7238888888889
Codigo,968003
Qtd. Anos,34
Ano,Maxima
1982,79.4
1983,76.8
1984,106.4
1985,146.6
1986,138.8
1987,146
1988,84
1989,95
1991,11.3
1993,95
1994,50.4
1995,9
1996,135
1997,60.7
1998,22.5
1999,80
2000,46.7
2001,225.5
2002,87.5
2003,71.2
2004,170.5
2005,220.8
2006,159
2007,43
2008,7.8
2009,29.6
2010,37.5
2011,70
2012,70
2015,20.5
2016,30
2017,30
2018,25
2019,30
