UF,AC
Cidade,BUJARI
Nome Posto,FAZENDA CANARI
Latitude,-9.566666666666666
Longitude,-68.28333333333333
Codigo,968004
Qtd. Anos,28
Ano,Maxima
1992,56.2
1993,65.6
1994,81.4
1995,90.9
1996,106.1
1997,92.9
1998,127
1999,80.1
2000,73.2
2001,114.4
2002,95.5
2003,83.9
2004,76.5
2005,109.6
2006,95.7
2007,82.6
2008,84.2
2009,94.6
2010,98.8
2011,82.2
2012,89.2
2013,95.6
2014,93.2
2015,64.2
2016,84.8
2017,108.6
2018,130.6
2019,70.4
