UF,AC
Cidade,SENA MADUREIRA
Nome Posto,SENA MADUREIRA
Latitude,-9.065833333333334
Longitude,-68.65972222222223
Codigo,968005
Qtd. Anos,16
Ano,Maxima
2005,47.5
2006,93.2
2007,99.4
2008,88.8
2009,87.3
2010,146.1
2011,99.8
2012,90
2013,76.5
2014,95.3
2015,48.6
2016,89
2017,89.9
2018,141.5
2019,122.7
2020,67.3
