UF,AC
Cidade,XAPURI
Nome Posto,XAPURI
Latitude,-10.649722222222222
Longitude,-68.50666666666666
Codigo,1068000
Qtd. Anos,43
Ano,Maxima
1978,102.6
1979,124.2
1980,88.3
1981,91.4
1982,72.8
1983,75.8
1984,92.3
1985,130
1986,113.4
1987,90.8
1988,139.4
1989,129.4
1990,84.6
1991,106.3
1992,89.8
1993,110.2
1994,85
1995,111
1996,81.6
1997,74
1998,126.4
1999,96.4
2000,103.6
2001,74.6
2002,79.6
2003,63.2
2004,55.4
2005,90.4
2006,140
2007,97
2008,69
2009,103.4
2010,81.4
2011,102.4
2012,128.4
2013,105.6
2014,93.4
2015,65.3
2016,99.4
2017,120
2018,94.4
2019,120
2020,50.6
