UF,AC
Cidade,TARAUACA
Nome Posto,SERINGAL BOM FUTURO
Latitude,-7.8502777777777775
Longitude,-72.01916666666666
Codigo,772003
Qtd. Anos,27
Ano,Maxima
1992,38.8
1993,95
1994,19
1995,78
1996,87
1997,30
1998,87
1999,102.5
2000,87.3
2001,105.1
2002,80.5
2003,103.5
2004,93.4
2005,121.4
2006,58.4
2007,95.4
2008,100.4
2009,82
2010,259.2
2011,48.6
2012,59.2
2013,49.1
2015,91
2016,177
2017,57.3
2018,71
2019,73.5
