UF,RR
Cidade,CAROEBE
Nome Posto,PCH JATAPU
Latitude,-0.9333333333333333
Longitude,-59.31666666666667
Codigo,8059003
Qtd. Anos,20
Ano,Maxima
2000,85.9
2001,105.8
2002,64.5
2003,79
2004,78.5
2005,120
2006,120
2007,135
2008,72
2009,97.1
2010,66.3
2011,70.3
2012,112.5
2013,75
2014,80.5
2015,140.2
2016,57.9
2017,75.3
2018,89.3
2019,86
