UF,RR
Cidade,PACARAIMA
Nome Posto,MALOCA DO CONTAO
Latitude,3.8333333333333335
Longitude,-60.528888888888886
Codigo,8360000
Qtd. Anos,45
Ano,Maxima
1975,43.4
1976,23.1
1977,24.2
1978,75.4
1979,91.8
1980,68
1981,142
1982,81.2
1983,105.4
1984,121.8
1985,83.4
1986,132
1987,100
1988,128.3
1989,103.5
1990,117
1991,53.2
1992,56.8
1993,111.1
1994,99.8
1995,104.4
1996,117.4
1997,76.3
1998,86.4
1999,90.4
2000,88.1
2001,64.5
2002,54.6
2003,218.1
2004,91.6
2005,142.4
2006,150.5
2007,112.7
2008,97.7
2009,85.3
2010,84.3
2011,116.5
2012,60.3
2013,110.7
2014,86.9
2015,57.7
2016,97.5
2017,120.3
2018,90.7
2019,96.7
