UF,RR
Cidade,RORAINOPOLIS
Nome Posto,FAZENDA PARANA
Latitude,0.8736111111111111
Longitude,-60.39944444444444
Codigo,8160001
Qtd. Anos,41
Ano,Maxima
1979,125.3
1980,73
1981,83.4
1982,86.8
1983,70.1
1984,85.8
1985,83
1986,125.9
1987,50.6
1988,83.4
1989,100.9
1990,102
1991,60.5
1992,73.5
1993,74.5
1994,80.2
1995,65.2
1996,88.5
1997,97.4
1998,73.5
1999,86.4
2000,72.5
2001,114
2002,100.5
2003,72.5
2004,97.9
2005,85.1
2006,119.4
2007,112.4
2008,80.9
2009,90.4
2010,75.1
2011,88.5
2012,116.3
2013,117.4
2014,112.7
2015,60.9
2016,37.8
2017,61.9
2018,131.3
2019,90.8
