UF,RR
Cidade,MUCAJAI
Nome Posto,FAZENDA TRES PODERES
Latitude,1.7372222222222222
Longitude,-60.97277777777778
Codigo,8261001
Qtd. Anos,31
Ano,Maxima
1989,218
1990,75.3
1991,67.5
1992,90
1993,94.3
1994,86.8
1995,232.3
1996,80
1997,62.7
1998,55
1999,110
2000,83.5
2001,62.5
2002,57.8
2003,73.1
2004,66.6
2005,63.3
2006,67.7
2007,83.6
2008,79.5
2009,67.7
2010,70.7
2011,79.2
2012,58.5
2013,65.5
2014,80
2015,68
2016,64.5
2017,46.9
2018,70.5
2019,83.1
