UF,RR
Cidade,BONFIM
Nome Posto,BONFIM
Latitude,2.6216666666666666
Longitude,-59.815555555555555
Codigo,8359000
Qtd. Anos,36
Ano,Maxima
1984,59.2
1985,76
1986,131.6
1987,64
1988,73.6
1989,90
1990,87
1991,75
1992,82.2
1993,75.5
1994,95.5
1995,66.6
1996,75.5
1997,92.2
1998,170.7
1999,140
2000,75.5
2001,86.6
2002,57.7
2003,69.6
2004,80.3
2005,100
2006,74.5
2007,93
2008,83.1
2009,87.2
2010,180.8
2011,99
2012,65.2
2013,84.8
2014,73.2
2015,57.7
2016,91.7
2017,115.9
2018,94.1
2019,110.1
