UF,RR
Cidade,PACARAIMA
Nome Posto,VILA SURUMU
Latitude,3.803888888888889
Longitude,-60.79388888888889
Codigo,8460001
Qtd. Anos,36
Ano,Maxima
1984,98.5
1985,162.7
1986,140.4
1987,140
1988,118
1989,35
1990,26
1991,6.2
1992,71.2
1993,94.4
1994,75.6
1995,97.9
1996,72.9
1997,97.6
1998,65.9
1999,76.4
2000,78
2001,121.4
2002,108.1
2003,204.6
2004,97.6
2005,98
2006,162.1
2007,120.3
2008,195.2
2009,80.3
2010,103.4
2011,144.7
2012,93.2
2013,137.4
2014,125.3
2015,48.5
2016,86.4
2017,122.7
2018,84.6
2019,112.8
