UF,RR
Cidade,MUCAJAI
Nome Posto,MUCAJAI
Latitude,1.528611111111111
Longitude,-60.91777777777777
Codigo,8260004
Qtd. Anos,25
Ano,Maxima
1995,73.3
1996,62.3
1997,84.8
1998,115
1999,115.3
2000,114.7
2001,99.1
2002,118
2003,85
2004,77.9
2005,80.7
2006,140
2007,135.7
2008,56.5
2009,120.2
2010,88.9
2011,105.4
2012,68.5
2013,105.2
2014,91.6
2015,84
2016,77
2017,113.6
2018,78.2
2019,168.6
