UF,RR
Cidade,BOA VISTA
Nome Posto,FAZENDA PASSARAO
Latitude,2.792222222222222
Longitude,-60.571111111111115
Codigo,8360002
Qtd. Anos,43
Ano,Maxima
1977,110
1978,117
1979,75.4
1980,125
1981,125.6
1982,39.6
1983,78.8
1984,70.6
1985,74
1986,85.5
1987,96
1988,75.5
1989,73.2
1990,152
1991,95.3
1992,50.2
1993,86.7
1994,122.3
1995,66.4
1996,77.3
1997,87.8
1998,78.6
1999,138.5
2000,153
2001,46.7
2002,117.4
2003,94.4
2004,88.2
2005,95.7
2006,144.8
2007,92
2008,93.1
2009,84.8
2010,97.3
2011,64.3
2012,20.1
2013,40
2014,51.1
2015,53.4
2016,88.1
2017,64.6
2018,93.6
2019,61.4
