UF,RR
Cidade,UIRAMUTA
Nome Posto,MUTUM
Latitude,3.5483333333333333
Longitude,-59.85888888888889
Codigo,8459000
Qtd. Anos,31
Ano,Maxima
1989,93.1
1990,34.8
1991,30
1992,19.4
1993,106.7
1994,53.8
1995,102.2
1996,86.3
1997,102.2
1998,49.4
1999,50
2000,50
2001,53.1
2002,78.1
2003,56.3
2004,58.9
2005,85.4
2006,100
2007,45
2008,102
2009,54
2010,71.1
2011,73.3
2012,81.9
2013,92.5
2014,79.2
2015,43.4
2016,58.3
2017,75
2018,67
2019,80.7
