UF,RR
Cidade,BONFIM
Nome Posto,FAZENDA AGUA LIMPA
Latitude,2.8444444444444446
Longitude,-60.25111111111111
Codigo,8360006
Qtd. Anos,18
Ano,Maxima
2002,75
2003,66.2
2004,93.5
2005,57
2006,131.1
2007,127
2008,121.6
2009,65.5
2010,115.5
2011,143.1
2012,93
2013,148
2014,45
2015,86.8
2016,80
2017,87.2
2018,75.5
2019,77
