UF,RR
Cidade,CARACARAI
Nome Posto,TERRA PRETA
Latitude,-0.8730555555555556
Longitude,-61.931666666666665
Codigo,61001
Qtd. Anos,31
Ano,Maxima
1989,56.6
1990,90.1
1991,212.7
1992,90
1993,100
1994,93.3
1995,180
1996,96.7
1997,78.9
1998,47.9
1999,95.3
2000,48.8
2001,67.8
2002,64.8
2003,99.1
2004,95.3
2005,69.1
2006,136.7
2007,95.6
2008,138.6
2009,102.8
2010,104.2
2011,83.1
2012,93.9
2013,150
2014,113
2015,200
2016,91.5
2017,76.3
2018,95.5
2019,94.9
