UF,RR
Cidade,ALTO ALEGRE
Nome Posto,COLONIA DO TAIANO
Latitude,2.7127777777777777
Longitude,-61.08833333333334
Codigo,8361004
Qtd. Anos,40
Ano,Maxima
1980,67
1981,184.8
1982,88.4
1983,60.4
1984,57.6
1985,79.2
1986,125.5
1987,48.5
1988,91
1989,73.7
1990,133
1991,48.4
1992,44.9
1993,65.6
1994,88.3
1995,83.7
1996,70.9
1997,78.2
1998,119.2
1999,115
2000,93.1
2001,72
2002,117.5
2003,99.8
2004,88.6
2005,81
2006,119.4
2007,83.2
2008,74.7
2009,66.8
2010,97.6
2011,134.4
2012,82.2
2013,93.6
2014,68.3
2015,89.4
2016,99.4
2017,84
2018,87.5
2019,110.5
