UF,RR
Cidade,ALTO ALEGRE
Nome Posto,BOQUEIRAO
Latitude,2.7094444444444448
Longitude,-61.28805555555555
Codigo,8361001
Qtd. Anos,41
Ano,Maxima
1979,21.1
1980,94.4
1981,190.4
1982,61.2
1983,53
1984,95.2
1985,88.2
1986,101.5
1987,79.2
1988,82.2
1989,108.3
1990,119.8
1991,85.2
1992,84.3
1993,90
1994,97.8
1995,67.8
1996,73.5
1997,74.6
1998,116
1999,137
2000,91.9
2001,94
2002,106.2
2003,77.9
2004,91.6
2005,100.1
2006,101.5
2007,96
2008,144.5
2009,75.4
2010,118.3
2011,67.2
2012,120.9
2013,106.3
2014,57.6
2015,76.2
2016,72.4
2017,86.5
2018,133.3
2019,96
