UF,RR
Cidade,CANTA
Nome Posto,BOA ESPERANCA
Latitude,1.5302777777777776
Longitude,-60.7175
Codigo,8260002
Qtd. Anos,31
Ano,Maxima
1989,64.3
1990,128.7
1991,1.9
1992,23.6
1993,22
1994,76.5
1995,98.6
1996,73.5
1997,83.7
1998,83.7
1999,98.7
2000,79.7
2001,75.5
2002,127.7
2003,65.8
2004,49.4
2005,47.8
2006,61.1
2007,108.1
2008,96.1
2009,95.1
2010,60.3
2011,100
2012,57.9
2013,58
2014,55.8
2015,92.6
2016,42.9
2017,16.8
2018,189.5
2019,74.1
