UF,RR
Cidade,AMAJARI
Nome Posto,FAZENDA SAO JOAO
Latitude,2.339166666666667
Longitude,-61.38388888888889
Codigo,8361000
Qtd. Anos,41
Ano,Maxima
1979,42.6
1980,95.8
1981,28.6
1982,79
1983,65
1984,115
1985,80
1986,95
1987,98
1988,80
1989,61
1990,91
1991,62
1992,58
1993,61.4
1994,80.4
1995,68
1996,82.4
1997,91.7
1998,98
1999,62
2000,82.2
2001,80
2002,71.1
2003,92.1
2004,91.5
2005,98.9
2006,136.5
2007,94.8
2008,81.8
2009,125.7
2010,89.7
2011,97.5
2012,127.3
2013,180.3
2014,61.3
2015,75.3
2016,82.6
2017,76.9
2018,106.7
2019,63
