UF,RR
Cidade,NORMANDIA
Nome Posto,FAZENDA NOVO DESTINO
Latitude,2.1638888888888888
Longitude,-59.66972222222222
Codigo,8359002
Qtd. Anos,15
Ano,Maxima
2005,32.3
2006,96.8
2007,84.2
2008,59
2009,62
2010,138.3
2011,109.2
2012,100.3
2013,75.5
2014,54.7
2015,52.8
2016,107.3
2017,100.6
2018,84.8
2019,99.1
