UF,RR
Cidade,SAO JOAO DA BALIZA
Nome Posto,SAO JOAO DA BALIZA
Latitude,-0.9577777777777777
Longitude,-59.913888888888884
Codigo,8059002
Qtd. Anos,25
Ano,Maxima
1995,82.9
1996,96.2
1997,59.2
1998,137.9
1999,64.3
2000,75.2
2001,92
2002,69.2
2003,99
2004,120.8
2005,81.9
2006,102.7
2007,99.1
2008,78.7
2009,146.9
2010,132.9
2011,137.2
2012,109.5
2013,92.7
2014,86.7
2015,58.7
2016,54.8
2017,81.1
2018,87.4
2019,77.5
