UF,RR
Cidade,MUCAJAI
Nome Posto,FE E ESPERANCA
Latitude,1.1291666666666667
Longitude,-61.440555555555555
Codigo,8261000
Qtd. Anos,45
Ano,Maxima
1975,58.2
1976,90.6
1977,84
1978,69
1979,100.5
1980,82
1981,74
1982,73.2
1983,120.2
1984,81.4
1985,53.2
1986,73
1987,100
1988,112
1989,82
1990,220
1991,121
1992,71
1993,76
1994,81
1995,84
1996,70
1997,81.7
1998,72.5
1999,92.3
2000,68.9
2001,61.6
2002,72.9
2003,92.3
2004,42.6
2005,94.5
2006,96.7
2007,96.6
2008,92.5
2009,78.8
2010,66
2011,97.4
2012,96.9
2013,84.5
2014,64.4
2015,62.5
2016,68.5
2017,87.1
2018,230
2019,67.2
