UF,RR
Cidade,BONFIM
Nome Posto,FAZENDA CASTELAO
Latitude,1.2394444444444443
Longitude,-60.325
Codigo,8260003
Qtd. Anos,31
Ano,Maxima
1989,144.5
1990,113.1
1991,80
1992,62.5
1993,78.9
1994,46.3
1995,77.5
1996,73.7
1997,89.9
1998,67.7
1999,64.4
2000,63.2
2001,61
2002,73
2003,63
2004,72.5
2005,100
2006,94.7
2007,66.1
2008,116.4
2009,117.9
2010,79.8
2011,84.3
2012,69
2013,99.6
2014,57.9
2015,57.5
2016,77.5
2017,115.8
2018,41.3
2019,58.8
