UF,RR
Cidade,SAO LUIZ
Nome Posto,FAZENDA SAO LUCAS
Latitude,-0.2275
Longitude,-60.69083333333333
Codigo,60001
Qtd. Anos,31
Ano,Maxima
1989,151.7
1990,46
1991,150
1992,50
1993,75
1994,98.7
1995,32
1996,92.8
1997,55.2
1998,83.9
1999,101.1
2000,80
2001,81
2002,86.7
2003,83
2004,81.4
2005,75.4
2006,62.3
2007,97.6
2008,67.9
2009,142.9
2010,80.1
2011,84.3
2012,82
2013,91.9
2014,55
2015,33.3
2016,104
2017,114.1
2018,79.2
2019,74.9
